Owner,Repository,Committer,Date,Tree URL,Code Size
matplotlib,matplotlib,GitHub,2023-01-20T01:53:44Z,https://api.github.com/repos/matplotlib/matplotlib/git/trees/214480d615b6a317a9461c23cdd04a233757e4bc,84128
matplotlib,matplotlib,GitHub,2023-01-19T22:42:27Z,https://api.github.com/repos/matplotlib/matplotlib/git/trees/2a0bcb9bfe312dc45cee43777463a37214da46b1,84128
matplotlib,matplotlib,hannah,2023-01-19T22:40:31Z,https://api.github.com/repos/matplotlib/matplotlib/git/trees/ee02ce5019b2cd3c81809a995dc03c824c11bc55,84128
matplotlib,matplotlib,GitHub,2023-01-19T21:53:27Z,https://api.github.com/repos/matplotlib/matplotlib/git/trees/29f39f5f01b5b9218930e6ec0c8fea1f9956f521,84091
matplotlib,matplotlib,GitHub,2023-01-19T20:58:35Z,https://api.github.com/repos/matplotlib/matplotlib/git/trees/2d94ab21853456a80aa8d5493d4798ac43e69dfc,84128
matplotlib,matplotlib,Oscar Gustafsson,2023-01-19T20:27:33Z,https://api.github.com/repos/matplotlib/matplotlib/git/trees/f0b8cbe6d5e5415f612e9c074d5ff0da003afe41,84091
matplotlib,matplotlib,Thomas A Caswell,2023-01-19T17:27:01Z,https://api.github.com/repos/matplotlib/matplotlib/git/trees/2d94ab21853456a80aa8d5493d4798ac43e69dfc,84128
matplotlib,matplotlib,Thomas A Caswell,2023-01-19T17:26:01Z,https://api.github.com/repos/matplotlib/matplotlib/git/trees/28f815f4549ff045176c2d590c3bae4ba62e5f16,84128
matplotlib,matplotlib,Thomas A Caswell,2023-01-19T17:25:57Z,https://api.github.com/repos/matplotlib/matplotlib/git/trees/e8abe9fb7c4b8c939f7f048d2096c737e9f928f1,84128
matplotlib,matplotlib,GitHub,2023-01-19T15:47:03Z,https://api.github.com/repos/matplotlib/matplotlib/git/trees/fe60702b522672fe12a722b33532ac54cd050f03,84128
matplotlib,matplotlib,GitHub,2023-01-19T15:05:34Z,https://api.github.com/repos/matplotlib/matplotlib/git/trees/c77b0ee14d9844bbc2ce884cb3347f4079c582eb,84128
matplotlib,matplotlib,hannah,2023-01-19T15:05:32Z,https://api.github.com/repos/matplotlib/matplotlib/git/trees/2eac4d2d33120d897dafde3954cc22f6d1c11bf0,84091
matplotlib,matplotlib,GitHub,2023-01-19T12:35:45Z,https://api.github.com/repos/matplotlib/matplotlib/git/trees/70a66fc8ce7aacff1df09a8615c084ee74c02262,84132
matplotlib,matplotlib,MeeseeksDev[bot],2023-01-19T09:40:14Z,https://api.github.com/repos/matplotlib/matplotlib/git/trees/70a66fc8ce7aacff1df09a8615c084ee74c02262,84132
matplotlib,matplotlib,GitHub,2023-01-19T09:40:05Z,https://api.github.com/repos/matplotlib/matplotlib/git/trees/e29550045c735da059877f766c5417e2cad3985c,84128
matplotlib,matplotlib,Ruth Comer,2023-01-19T09:25:26Z,https://api.github.com/repos/matplotlib/matplotlib/git/trees/62d3da1f0b27c20673381c5745e50a09a08e1d8c,84091
matplotlib,matplotlib,Antony Lee,2023-01-19T08:22:11Z,https://api.github.com/repos/matplotlib/matplotlib/git/trees/f4ef8ad4811db1f3b5033d9ab62ab65caa3b9c09,84128
